Chunk,2010 Census Population,Prefixes
010_0,210857,"['0100', '0101', '0102', '0103']"
010_1,238700,"['0104', '0105', '0106', '0107', '0108']"
010_2,19818,['0109']
015_0,244841,"['0150', '0151', '0152', '0153', '0154', '0155']"
015_1,128878,"['0156', '0157', '0158', '0159']"
017_0,207777,"['0170', '0171', '0172', '0173', '0174']"
017_1,171250,"['0175', '0176', '0177', '0178', '0179']"
018_0,184413,"['0180', '0181', '0182']"
018_1,227505,"['0183', '0184']"
018_2,210817,"['0185', '0186', '0187']"
018_3,90391,"['0188', '0189']"
019_0,231079,"['0190', '0191', '0192']"
019_1,245235,"['0193', '0194', '0195', '0196', '0197', '0198', '0199']"
01_0,168835,['011']
01_1,213800,"['012', '013']"
01_2,211812,['014']
01_3,188402,['016']
020_0,184275,"['0200', '0201', '0202', '0203', '0204']"
020_1,216096,"['0205', '0206', '0207', '0208', '0209']"
0212_0,243585,"['02120', '02121', '02122', '02123', '02124', '02125', '02126', '02127', '02128']"
0212_1,16439,['02129']
0213_0,220173,"['02130', '02131', '02132', '02133', '02134', '02135', '02136', '02137', '02138']"
0213_1,36349,['02139']
021_0,136539,"['0210', '0211']"
021_1,207555,['0214']
021_2,220030,"['0215', '0216']"
021_3,203272,"['0217', '0218', '0219']"
023_0,241125,"['0230', '0231', '0232', '0233', '0234']"
023_1,199938,"['0235', '0236', '0237', '0238', '0239']"
024_0,242552,"['0240', '0241', '0242', '0243', '0244', '0245', '0246']"
024_1,166219,"['0247', '0248', '0249']"
027_0,195535,"['0270', '0271', '0272', '0273']"
027_1,224750,"['0274', '0275', '0276']"
027_2,106051,"['0277', '0278', '0279']"
028_0,212218,"['0280', '0281', '0282', '0283', '0284']"
028_1,239752,"['0285', '0286', '0287']"
028_2,221007,"['0288', '0289']"
029_0,202201,['0290']
029_1,177403,"['0291', '0292', '0293', '0294', '0295', '0296', '0297', '0298', '0299']"
02_0,144836,"['022', '025']"
02_1,147883,['026']
030_0,208561,"['0300', '0301', '0302', '0303', '0304', '0305']"
030_1,168986,"['0306', '0307', '0308', '0309']"
038_0,209755,"['0380', '0381', '0382', '0383', '0384', '0385']"
038_1,110545,"['0386', '0387', '0388', '0389']"
03_0,148310,['031']
03_1,249228,"['032', '033']"
03_2,221188,"['034', '035', '036', '037']"
03_3,48241,['039']
040_0,195599,"['0400', '0401', '0402', '0403', '0404', '0405', '0406']"
040_1,140850,"['0407', '0408', '0409']"
04_0,112827,['041']
04_1,176789,['042']
04_2,82079,['043']
04_3,225373,"['044', '045']"
04_4,185746,"['046', '047', '048']"
04_5,160751,['049']
05_0,161652,"['050', '051', '052', '053']"
05_1,233934,"['054', '055']"
05_2,230155,"['056', '057', '058', '059']"
060_0,228185,"['0600', '0601', '0602', '0603']"
060_1,222675,"['0604', '0605', '0606']"
060_2,222204,"['0607', '0608', '0609']"
061_0,130465,['0610']
061_1,166124,"['0611', '0612', '0613', '0614', '0615', '0616', '0617', '0618', '0619']"
063_0,234847,"['0630', '0631', '0632', '0633', '0634', '0635', '0636', '0637']"
063_1,33864,"['0638', '0639']"
064_0,246228,"['0640', '0641', '0642', '0643', '0644']"
064_1,187607,"['0645', '0646']"
064_2,232688,"['0647', '0648']"
064_3,52204,['0649']
0651_0,238999,"['06510', '06511', '06512', '06513', '06514', '06515', '06516', '06517']"
0651_1,36276,"['06518', '06519']"
065_0,14553,"['0650', '0652', '0653', '0654', '0655', '0656', '0657', '0658', '0659']"
067_0,237096,"['0670', '0671', '0672', '0673', '0674', '0675', '0676', '0677']"
067_1,96311,"['0678', '0679']"
068_0,212715,"['0680', '0681', '0682']"
068_1,220841,"['0683', '0684', '0685', '0686', '0687', '0688']"
068_2,31487,['0689']
06_0,167357,['062']
06_1,239121,['066']
06_2,122486,['069']
070_0,209424,['0700']
070_1,194134,['0701']
070_2,128535,['0702']
070_3,205290,['0703']
070_4,157159,['0704']
070_5,207395,['0705']
070_6,147322,['0706']
070_7,119801,['0707']
070_8,180297,['0708']
070_9,134060,['0709']
0710_0,236072,"['07100', '07101', '07102', '07103', '07104', '07105', '07106', '07107', '07108']"
0710_1,35897,['07109']
071_0,123458,"['0711', '0712', '0713', '0714', '0715', '0716', '0717', '0718', '0719']"
074_0,222917,"['0740', '0741', '0742', '0743']"
074_1,238156,"['0744', '0745', '0746', '0747', '0748', '0749']"
076_0,191562,"['0760', '0761', '0762', '0763']"
076_1,244726,"['0764', '0765', '0766']"
076_2,55717,"['0767', '0768', '0769']"
077_0,113412,"['0770', '0771']"
077_1,146026,['0772']
077_2,235377,"['0773', '0774']"
077_3,106380,"['0775', '0776', '0777', '0778', '0779']"
078_0,214013,"['0780', '0781', '0782', '0783', '0784', '0785']"
078_1,146625,"['0786', '0787', '0788', '0789']"
079_0,244967,"['0790', '0791', '0792', '0793', '0794', '0795', '0796', '0797']"
079_1,11172,"['0798', '0799']"
07_0,180747,['072']
07_1,247530,['073']
07_2,198394,['075']
080_0,220438,"['0800', '0801']"
080_1,185750,"['0802', '0803']"
080_2,82677,['0804']
